PS D:\repository\dian_dians_app\tools> .\adb.exe -s 127.0.0.1:5555 logcat -s Unity:V
--------- beginning of system
--------- beginning of main
05-08 14:39:24.162  5241  5321 I Unity   : NexgenDragon.GameFacade:Initialize(NexgenObject)
05-08 14:39:24.162  5241  5321 I Unity   : GameWrapper:InitializeGameFacade()
05-08 14:39:24.162  5241  5321 I Unity   :
05-08 14:39:24.163  5241  5321 I Unity   : [KGShareSDKInternal] OnApplicationAwake
05-08 14:39:24.163  5241  5321 I Unity   : com.kingsgroup.sdk.KGShareSDKInternal:Awake()
05-08 14:39:24.163  5241  5321 I Unity   : UnityEngine.GameObject:AddComponent()
05-08 14:39:24.163  5241  5321 I Unity   : NexgenDragon.DistributionManager:Initialize(NexgenObject)
05-08 14:39:24.163  5241  5321 I Unity   : NexgenDragon.GameFacade:Initialize(NexgenObject)
05-08 14:39:24.163  5241  5321 I Unity   : GameWrapper:InitializeGameFacade()
05-08 14:39:24.163  5241  5321 I Unity   :
05-08 14:39:24.167  5241  5321 I Unity   : [FPAccountInternal] OnApplicationAwake
05-08 14:39:24.167  5241  5321 I Unity   : com.kingsgroup.sdk.FPAccountInternal:Awake()
05-08 14:39:24.167  5241  5321 I Unity   : UnityEngine.GameObject:AddComponent()
05-08 14:39:24.167  5241  5321 I Unity   : NexgenDragon.DistributionManager:Initialize(NexgenObject)
05-08 14:39:24.167  5241  5321 I Unity   : NexgenDragon.GameFacade:Initialize(NexgenObject)
05-08 14:39:24.167  5241  5321 I Unity   : GameWrapper:InitializeGameFacade()
05-08 14:39:24.167  5241  5321 I Unity   :
05-08 14:39:24.170  5241  5321 I Unity   : [KGHuaweiInternal] OnApplicationAwake
05-08 14:39:24.170  5241  5321 I Unity   : com.kingsgroup.sdk.KGHuaweiInternal:Awake()
05-08 14:39:24.170  5241  5321 I Unity   : UnityEngine.GameObject:AddComponent()
05-08 14:39:24.170  5241  5321 I Unity   : NexgenDragon.DistributionManager:Initialize(NexgenObject)
05-08 14:39:24.170  5241  5321 I Unity   : NexgenDragon.GameFacade:Initialize(NexgenObject)
05-08 14:39:24.170  5241  5321 I Unity   : GameWrapper:InitializeGameFacade()
05-08 14:39:24.170  5241  5321 I Unity   :
05-08 14:39:24.174  5241  5321 W Unity   : [KGHuaweiAndroidImpl]==> not found android KGHuawei UnityBridge
05-08 14:39:24.174  5241  5321 W Unity   : com.kingsgroup.sdk.KGHuaweiInternal:InitSDKImpl()
05-08 14:39:24.174  5241  5321 W Unity   : com.kingsgroup.sdk.KGHuaweiInternal:Awake()
05-08 14:39:24.174  5241  5321 W Unity   : UnityEngine.GameObject:AddComponent()
05-08 14:39:24.174  5241  5321 W Unity   : NexgenDragon.DistributionManager:Initialize(NexgenObject)
05-08 14:39:24.174  5241  5321 W Unity   : NexgenDragon.GameFacade:Initialize(NexgenObject)
05-08 14:39:24.174  5241  5321 W Unity   : GameWrapper:InitializeGameFacade()
05-08 14:39:24.174  5241  5321 W Unity   :
05-08 14:39:24.178  5241  5321 I Unity   : [KGPrivacyInternal] OnApplicationAwake
05-08 14:39:24.178  5241  5321 I Unity   : com.kingsgroup.sdk.KGPrivacyInternal:Awake()
05-08 14:39:24.178  5241  5321 I Unity   : UnityEngine.GameObject:AddComponent()
05-08 14:39:24.178  5241  5321 I Unity   : NexgenDragon.DistributionManager:Initialize(NexgenObject)
05-08 14:39:24.178  5241  5321 I Unity   : NexgenDragon.GameFacade:Initialize(NexgenObject)
05-08 14:39:24.178  5241  5321 I Unity   : GameWrapper:InitializeGameFacade()
05-08 14:39:24.178  5241  5321 I Unity   :
05-08 14:39:24.181  5241  5321 I Unity   : [KGStreamingInternal] OnApplicationAwake
05-08 14:39:24.181  5241  5321 I Unity   : com.kingsgroup.sdk.KGStreamingInternal:Awake()
05-08 14:39:24.181  5241  5321 I Unity   : UnityEngine.GameObject:AddComponent()
05-08 14:39:24.181  5241  5321 I Unity   : NexgenDragon.DistributionManager:Initialize(NexgenObject)
05-08 14:39:24.181  5241  5321 I Unity   : NexgenDragon.GameFacade:Initialize(NexgenObject)
05-08 14:39:24.181  5241  5321 I Unity   : GameWrapper:InitializeGameFacade()
05-08 14:39:24.181  5241  5321 I Unity   :
05-08 14:39:24.183  5241  5321 I Unity   : [KGStreamingAndroidImpl] setGameObjectName
05-08 14:39:24.183  5241  5321 I Unity   : com.kingsgroup.sdk.KGStreamingAndroidImpl:setGameObjectName(String)
05-08 14:39:24.183  5241  5321 I Unity   : UnityEngine.GameObject:AddComponent()
